team,year,div,conf,w_l_percent,mov,ortg,drtg,nrtg,mov_a,ortg_a,drtg_a,nrtg_a
Toronto Raptors,2007,C,E,0.573,0.99,107.92,106.56,1.36,0.61,107.84,106.91,0.93
Utah Jazz,2007,M,W,0.622,2.87,110.65,107.4,3.25,3.06,110.7,107.24,3.45
Washington Wizards,2007,A,E,0.5,-0.51,110.57,111.28,-0.71,-0.8,110.7,111.71,-1.01
Atlanta Hawks,2008,C,E,0.451,-1.82,107.6,109.52,-1.92,-2.23,107.44,109.81,-2.37
Boston Celtics,2008,A,E,0.805,10.26,111.1,99.75,11.35,9.31,110.55,100.23,10.32
Brooklyn Nets,2008,A,E,0.415,-5.06,104.61,110.25,-5.64,-5.15,104.6,110.32,-5.72
Charlotte Hornets,2008,C,E,0.39,-4.38,105.39,110.22,-4.83,-4.48,105.43,110.36,-4.93
Chicago Bulls,2008,C,E,0.402,-3.09,104.65,107.91,-3.26,-3.19,104.6,107.96,-3.36
Cleveland Cavaliers,2008,C,E,0.5489999999999999,-0.35,106.66,107.15,-0.49,-0.52,106.58,107.23,-0.65
Dallas Mavericks,2008,M,W,0.622,4.54,111.9,106.82,5.08,4.7,112.02,106.77,5.25
Denver Nuggets,2008,M,W,0.61,3.71,110.46,106.95,3.51,3.74,110.48,106.93,3.55
